ID,Data_Lancamento,Data_Caixa_Base,Tipo,Categoria,Subcategoria,Centro_Custo,Contraparte,Descricao,Metodo,Status,Valor,Valor_Sinal,AnoMes,Prazo_Dias
20,2024-01-01,2024-01-19,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,13614.64,13614.64,2024-01,18
866,2024-01-01,2024-01-01,Saida,Pagamentos,Aluguel,Administrativo,Fornecedores/Órgãos,Pagamento: Aluguel,Boleto,Pago,43345.46,-43345.46,2024-01,0
15,2024-01-02,2024-02-01,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,43550.6,43550.6,2024-02,30
18,2024-01-02,2024-01-14,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,34133.5,34133.5,2024-01,12
12,2024-01-03,2024-02-09,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,85976.21,85976.21,2024-02,37
868,2024-01-03,2024-01-03,Saida,Pagamentos,Marketing,Marketing,Plataformas de Ads,Campanhas de marketing,Cartão,Pago,11842.78,-11842.78,2024-01,0
10,2024-01-04,2024-01-13,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,25624.8,25624.8,2024-01,9
876,2024-01-04,2024-02-02,Saida,Pagamentos,Fornecedores,Operações,Fornecedores,Pagamento a fornecedores,Boleto,Pago,12507.05,-12507.05,2024-02,29
865,2024-01-05,2024-01-05,Saida,Pagamentos,Salários e encargos,Administrativo,Fornecedores/Órgãos,Pagamento: Salários e encargos,Transferência,Pago,222137.14,-222137.14,2024-01,0
17,2024-01-08,2024-01-28,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,53760.81,53760.81,2024-01,20
4,2024-01-09,2024-02-13,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,25429.82,25429.82,2024-02,35
2,2024-01-10,2024-01-17,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,21109.69,21109.69,2024-01,7
11,2024-01-10,2024-02-13,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,19912.23,19912.23,2024-02,34
869,2024-01-10,2024-01-10,Saida,Pagamentos,Marketing,Marketing,Plataformas de Ads,Campanhas de marketing,Cartão,Pago,19897.66,-19897.66,2024-01,0
873,2024-01-12,2024-01-12,Saida,Pagamentos,Cloud/SaaS,Administrativo,Fornecedores/Órgãos,Pagamento: Cloud/SaaS,Cartão,Pago,31058.79,-31058.79,2024-01,0
1,2024-01-15,2024-02-08,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,27653.19,27653.19,2024-02,24
7,2024-01-15,2024-02-18,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,29721.97,29721.97,2024-02,34
8,2024-01-15,2024-02-12,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,26725.46,26725.46,2024-02,28
16,2024-01-16,2024-02-10,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,14094.0,14094.0,2024-02,25
21,2024-01-16,2024-03-27,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,38323.97,38323.97,2024-03,71
23,2024-01-16,2024-02-03,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,11937.02,11937.02,2024-02,18
870,2024-01-17,2024-01-17,Saida,Pagamentos,Marketing,Marketing,Plataformas de Ads,Campanhas de marketing,Cartão,Pago,3557.87,-3557.87,2024-01,0
880,2024-01-17,2024-01-31,Saida,Pagamentos,Fornecedores,Operações,Fornecedores,Pagamento a fornecedores,Boleto,Pago,19115.3,-19115.3,2024-01,14
878,2024-01-18,2024-01-29,Saida,Pagamentos,Fornecedores,Operações,Fornecedores,Pagamento a fornecedores,Boleto,Pago,10502.8,-10502.8,2024-01,11
879,2024-01-18,2024-01-31,Saida,Pagamentos,Fornecedores,Operações,Fornecedores,Pagamento a fornecedores,Boleto,Pago,5056.7,-5056.7,2024-01,13
867,2024-01-20,2024-01-20,Saida,Pagamentos,Tributos,Administrativo,Fornecedores/Órgãos,Pagamento: Tributos,DARF,Pago,68600.34,-68600.34,2024-01,0
877,2024-01-23,2024-02-07,Saida,Pagamentos,Fornecedores,Operações,Fornecedores,Pagamento a fornecedores,Boleto,Pago,12564.41,-12564.41,2024-02,15
871,2024-01-24,2024-01-24,Saida,Pagamentos,Marketing,Marketing,Plataformas de Ads,Campanhas de marketing,Cartão,Pago,9835.38,-9835.38,2024-01,0
874,2024-01-24,2024-02-29,Saida,Pagamentos,Fornecedores,Operações,Fornecedores,Pagamento a fornecedores,Boleto,Pago,6985.97,-6985.97,2024-02,36
875,2024-01-24,2024-02-12,Saida,Pagamentos,Fornecedores,Operações,Fornecedores,Pagamento a fornecedores,Boleto,Pago,35257.41,-35257.41,2024-02,19
5,2024-01-25,2024-02-03,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,31176.21,31176.21,2024-02,9
3,2024-01-29,2024-02-15,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,19832.41,19832.41,2024-02,17
9,2024-01-29,2024-03-01,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,53893.58,53893.58,2024-03,32
14,2024-01-29,2024-03-03,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,53413.42,53413.42,2024-03,34
19,2024-01-29,2024-03-03,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,21639.58,21639.58,2024-03,34
13,2024-01-30,2024-03-04,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,8087.96,8087.96,2024-03,34
22,2024-01-30,2024-02-25,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,17880.95,17880.95,2024-02,26
6,2024-01-31,2024-03-03,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,17212.26,17212.26,2024-03,32
